"","text"
"183","enjoyed stay stayed hotel nights water temperature shower barely luke warm calls desk problem fixed staff friendly restaurant breakfast buffet nice huge storm hardly noticable tv reception nt big problem overall happy accomodations stay "
"184","nice hotel friendly staff problem checking parking reviews suggested hotels seattle charge parking went expecting parking garage clean lit equipped elevator lobby hotelthe staff friendly met request smile morning beverage option nice touch kids enjoyed rooms clean maintained wish pool larger tended kept comfortable temp location convenient long nt walking surely stay "
"185","stay tonight slept wonderful love comforters double sheets kids loved indoor pool morning hot chocolate left upscale shower samples typical brands got room service dinner nights nt terribly expensive actually tasted good parking cost bucks parking just expensive seattle got great deal room nt feel bad extras paid extra internet room bucks day internet long distance phone calls definitely stay "
"186","great business hotel stayed hotel times year business really good experience overall staff members encountered friendly desk staff staff members encountered elevators rooms immaculate hotel wellmaintained room service quick complimentary beverage service morning great location walking distance tons restaurants shopping thing soso thing restaurant food service italian restaurant inside hotel prices average service slow recommend checking restaurants area eating nt restaurant particularly bad just lot better restaurants close walking distanceall great place stay business use marriott points long weekend "
"187","great service probably half star star hotel guest services outstanding employees ask needed help walking getting hotel desk ate hotel cafe nd floor quick bite checking steak sandwich tender tasted hot water bathroom instant towels nice paid night priceline think parking hotel dollars nightfeel free ask questions "
"188","stayed saturday night stop flying home day floor overlooking expressway hear noise restaurants walked square blocks hotel nothing open saturday hotel restaurants decided good choice bed comfortable today checking bank statements unexplained charge credit card real test phone calls correct mistake really just hotel nothing special bit isolated close expressway "
"189","expect saw rate online sites werent planning stay got group rate room worthwhile certainly wouldnt pay seen rate room clean spacious comfortable really great view citythe service friendly desk pretty slow hotel fully booked busythe pool pleasant restaurant expect renaissancethe hotel hill fairly steep climb cheap taxi ride didnt feel like walking "
"190","happier reservation hotels minute taxes paid room free coffee hot chocolate request wakeup stayed similar boutiquestyle hotels cities inroom coffee fan bathroom nonchipping tiles bathroom personally recommend hotel desk personnel helpful reasonably friendly bell personnel left waiting weather half hour said right car "
"191","bad vibrations short version air conditioning hotel builds harmonic modulating vibration ducts coming basement room air returns coming minute buildup release noise drove nuts figured nicely moved room realize problem probably hear rooms loud drive nuts low level liked open windows hotel right continuously traveled types vehicles quite loud windows open notthe normal level great marriott service pleasant stay facility changes air "
"192","checked early wo nt stay room dirty checked food substances carpet late night let got evening maid service nt provide maid service stay week furnishings cheap room small simply worth price motel masquerading pricier simply worth "
"193","parking fee stinks husband booked room year half ago wonderful view city lights unfortunately gotten pm nt chance wanted thrilled got great deal priceline days ago looked forward nice time weekendat checkin parking car lot informed park hotel pay night car told expensive places park area total lie way day walking area probably checked ahead time honestly ca nt remember time hotel renting room nt free parking greatly reduced stay bad customer servicethe woman checked friendly barely polite maybe nt pay night like offer website th floor freeway view quite noisy pretty disappointing requests ahead time king bed nonsmoking room taken care double check checkinone good thing offered complimentary hot chocolate wakeup tasty stay closer home affordable hotel nt stiff parking time "
"194","fine hotel stayed august hotel better expected hotel internet experience seattle environs renaissance sits atop hill suppose nearly mile seattle straight walk seafront walking different matter nt stay walk hills b nt want pay taxi fare hotel cost usually hotel extremely comfortable small pool th floor gym staff extremely friendly nicer hotels stayed "
"195","overpriced got friends family discount room way overpriced location great walking various places city room tiny idea hilton insists making people pay internet access especially room expensive particularly impressive "
"196","better previous reviews suggest stayed downtown hilton recently nights conference apprehensive stay given negative reviews travellers positive experience stay use exercise facility business features suggestion requested upper floor room view puget sound quite pleasant room clean quiet little small bathroom amenities quite nice ordered room service stay food excellent arrived ordered additonally lobby bar pleasant understated sure hotel good value rate discounted conference served quite nicely "
"197","horrible customer service worst hilton possibly worst hotel trying review guidelines feel important people know kinds business practices ran intowe stayed hilton nights second night wedding reception hiltonall booking went smoothly room decent exectutive sweet overpriced got discount reception therethe problems arrived later reception short summary things happenedelevators issues nightmyself reception stuck lobby nt reception elevators working key card given working upthe dj closing party early party staff locking room allowing entrance gather belongs use reception room additional hour half booked contracta hilton staff member challenging fist fight telling hit got aggravated insisted let uphaving head security apologize actions said staff memberfinally getting executive suite stay rest nighthaving police wife assaulted hilton staff member tried fight putting hand getting security apologized usafter police left hearing story hour later long elevators broken night manager security officer showed kick mentioned assault glad arrest nt madeafter threatening lawyers involved breach contract told staygetting minutes later night manager apologize told work sort discount troublewaking morning finding double charged room parking vehicles oursdealing people nice saying work getting charges reversed right backfinding hilton additional charges outlined contract consentbeing told willing reverse small portion charges staff says story falseso end breached contract refused credit sure action burned abuse received "
"198","agree worst hilton absolute worst hilton stayed gold hh members travel lot absolute worst hilton world leg week vacation year old daughter took hilton properties south lake tahoe ca way whistler bc rate hiltons excellentfirst charge night use internet room free wireless internet available executive lounge small converted guest room lobby went executive lounge comical business people packed elbow elbow laptops using free internet eating drinking free food sight sure decongest executive lounge nt charge internet stayed hilton honors floor noticed dirty dishes newspapers hall nt picked days therethe excercise room size walk closet treadmills stepper jammed therethe people provided sort customer service bellmen desk personnel management delt customer service skillsmy car parked hilton garage window smashed car ransacked hilton security simply left business card smashed window took time sweep glass ground discovered hilton security knew car broken let sit smashed window days notify series failures hilton staff touch seattle hilton director security asked nt notified car broken response policy parking manual hilton honors stated gm contact monday wednesday response finally drafted lenghty letter hilton corporate hq regarding seattle hilton "
"199","perfect convention property stayed april attended conference held hotelthis property great location downtown seattle easy walking distance pike place market pacific place shopping convention center monorail space needle older property way guess slightly smaller bedroom bathroom sizes narrow corridors floor levels small number rooms floor walls tiles linens furnishings clean modern presenting nice decor bathrooms equipped crabtree evelyn le source toiletries favorite start floor run floor restaurant th floor elevators provided smooth speedy service plus access guest floor room key required helping make single traveler feel safethe meeting rooms spacious hotel staff kept refreshments aplentybreakfast lunch day restaurant unexpected gourmet treat elegant normally required informal meals restaurant spectacular view puget sound sky clear olympic mountains view easily seen seating areathe bar area menu nt eat bar large cozy decorthe concierge friendly helpful night reservation cutter restaurant making sure restaurant provide complimentary transportation return hotel restaurant given appetizer courtesy concierge needed town car pick airport day concierge booked company saving affordable transportation internetmy disappointment business center small fee use hotels offer complimentary service maybe seattle hilton change soon thanks great nights slept "
"200","good location average rooms great exec lounge stayed daughters downtown hilton property night holiday weekend nice view bay buildings got way desk staff polite helpful treat older guests little disrespect parking joke nite positive executive lounge little cramped offered free drinks appetizers everynight pm exec concierge helpful dinner salty included complimentary limo ride hilton big win kids stay points business money look booking "
"201","stay plenty nice hotels seattle terrible stay bellman lost luggage phones nt work dirty sheets letter manager answered acknowledged better staying "
"202","average facilities need overhaul feel dated service ok reason stay good rate need central location "
"203"," miss hotel vanish miss hotel far jewel hilton family crown longinthetooth room carpet pronounced grease stain temperature difficult control room pooly lit taking elevators thrill ride half time floor number display elevator nt work missed digit elevator rocket past floor open inner doors motion floor making paticularly worrisome small child interior elevator doors scratched grafitti businessman continental breakfast place twice making play detective morning breakfast held tiniest conference rooms gyminternet service room offline refunds offered ask specificallythe parking garage horrendous caution rent large long vehicle make uturn required second floorchances staying zero "
"204","excellent choice great choice stay close airport right street room lovely price right booked hotels room quiet offered just aware parking overnight "
"205","posh hotel husband stayed hilton seattle september night really liked stayed queen room bed bed linens wall paper furniture bathroom really nice nice view centrally located reserved room hotwirecom room "
"206","ok price people agree hotel ok price reason given instead points think returned week united states trip hotel average prize charge high season people including average breakfast located far downtown seattle sounds like pretty good deal methe location really convenient just short walk space needle air train directly seattlethe staff helpful friendly complimentary wireless internet available coffee tea lobbythe rooms clean way small basically crawl bed reach far room hotel slowest elevator seen convenience location prize just beats small downsides "
"207","just fine make minute trip seattle conventions going closest hotel downtown area arrive dingy exterior nt lot ease mind location room things improve newly renovated clean bed quite comfortable room quiet despite facing busy street rooms quite small live nyc used tight quarters nt really bother breakfast room makes high school cafeteria feel like ritz depressing start day skip talk walk belltown proper cup coffee kind breakfast wanttotally acceptable motel edge town "
"208","ok just need clean space sleep just finished night stay comfort suites downtown seattle moved hotel road night heading home boy surprised difference hotel facility stayed quality innsuites past far favorite quality innssuites comfort innssuites operated hotel family chain expect equivalent similar quality standard especially hotels feet away despite quality innsuites downtown seattle offers clean basic rooms maybe pricing somewhat rundown facility bearcave feel small dark old guess just want simple basic place stay day budget conscious q hotel seattle okay choice mediocre overall upgrades definitely needed hotel "
"209","seattle stay quality inn suites seattle located blocks seattle center home space needle area originally built world fair area appears offices tv stations walk blocks restaurants food court center house near space needle monorail seattle center runs westlake center mall plenty shopping restaurantsthe hotel built fair added years ago recently rooms updated room small adults sightseeing time fine room double beds included microwave refrigerator bathroom updated marble floor new fixtures staff friendly helpful hotel clean hotel stay room quiet hotel busy highway window closed noise problem parking free hotel great downtown hotel stalls limited serve nice breakfast near pool area breakfast room fills quickly earlier better area hotel tourist friendly thought hotel bargain night adults free breakfast free parking downtown seattle "
"210","left hand nt know right desk clerks helpful getting type room booked month advancethe maids baggage handlers courteous helpfulricky desk clerk know doingthe pool closed nights promises open soondouble room book nicer queen bed room book "
"211","ok price older hotel somewhat run check quick room king bed small ac noisy good breakfast dining area grungy lookinghotel plus convenient space needletheir transport safeco field small shuttle bus told handle passengers realizing hold crowd waiting hotel cab saw shuttle minute wait slow trip game rush hour nt shuttle make trips forth "
"212","avoid costs place nightmare understaffed messy arrived pm guests deep desk telephone continually ringing employee later lone employee hired week ago room clean medicinal smell cleaning fluids overwhelming hallways elevator dirty littered place absolutely appeal close worth night "
"213","great location parking expensive loved location modern clean comfort amenities staff service value got hotwire definitely stay recommend friendsit located right retail core blocks pike place market minutes definite major chain stores restaurants movie theatres doorstep wireless internet flatscreen lcd room terminals free hotel guests locared right lobby new fitness centre just openedparking expensive day valet jockey suggest alternative selfpark lot nearby raining tired used hotel valet nt drive shuttle airport way "
"214","great hotel great location stayed august round world trip hotel great central location tour boeing factory left lobby hotel little shop souveniers necessities food toiletries check fast easy room spacious mini bar locked unless asked key clean iron ironing board hair dryer starbucks coffee available room housekeeping make beds day wo nt change linen unless place card bed free internet available lobby room approx hours minor thing rooms close doors noisy people come definitely stay "
"215","great service location great hotel location amazing able walk safeco field bit walk public market shopping chose walk sapce needle easily monorail couple blocks awaythe rooms nice clean comfortablethe problem parking self parking consisted public lots property valet parking park just check valets ask valet car immediately ask leaveif looking drinks friends stay away hotel lounge way overpriced drinks really watered despite parking hotel lounge great place stay "
"216","nice stay sheraton stayed sheraton nights july seattle area business assigned club floor room pike st tower pike st tower older rooms corridors quite clean freshi happened th floor just fitness center pool th floor renovation quite bit drillingjack hammering going pm annoying nt going ama temporary fitness facility setup newer tower jobthe room comfortable nice large flat panel television plenty space spread hotel staff friendly checkin process quick efficientthe location great plenty shopping restaurants quick walk doors stayed westin seattle year sheraton location nicerall pleasant stay "
"217","great priceline rate large room live seattle suburb wanted stay downtown wedding selected star downtown seattle priceline reservation accurate problems check given king bed old tower room large comfortable bed duvet traditional old blanket knows washed surprised high end chain hotel motel like feature rough towels valet parking wired internet "
"218","great location reservation mixup great hotel superb location new tower attend conference facilities superb food excellent mixup fact extended original reservation definately recommend hotel "
"219","book priceline reviewers suggested place night priceline easily accomadated request king room new tower beautiful hotel perfect location walked took ferry bainbridge bus locks ballard nobody renting car stay bus downtown airport person takes hour parking expensive downtown hotel used use public transport "
"220"," impressive husband attending conference hotel chose stay directly hotel conference days spent alexis absolutely gorgeous booked directly sheraton website unable accommodate room newly refurbished section hotel unless chose room double beds room good sized drab bathroom cramped compared alexis offered toiletries provided way perfumey say simple pleasure enjoy lotions hotel provides positive note bed comfortable heater noise minimal desk staff nicethey nickel dime day including tax internet break spoiled room amenities alexis place stay time "
"221","sheraton place stay stayed hotel gf easter long weekend central location downtown decided booking easy hotel website really good price stay friday promo great considering star hotel got confirmation number called hotel reserve room union street tower ust newer slightly shorter floors building opposed pike street tower built renovated desk said note reservation confirmed checked amazing lobby room perfect end corner floor windows adjacent walls hear ice machine little th floor facing highway exit noisy street super clean room immaculate bathroom big king bed flat screen plasma note tv guest services local weather celsius totally lucked sunny weekend seattle downside parking heart downtown pay took reviewer tip use hotel day pm inout privilages declared checkin add added instead tried convention centre block north hotel nite parked pm got car p day second nite parked pm convention centre closes got car pm inout privilages okay mainly walking downtown good luck "
"222","relaxing stay great location sheraton hotel prime location heart downtown seattle convenient shopping easy stroll away pike place market stayed hotel times staff professional courteous opening new pine street tower completion lobby renovations added attractiveness hotel room decor comfortable furnishings thought really liked new bliss mandarin mint bath products "
"223","nice place good staff clean good location used priceline price got room night stay night got noon wait check held bags just went grabbed lunch little bit mixup regarding request king size bed management ended upgrading corner room larger room hdtv king bed nt charge uswe asked new tower recommended people nice explored older tower nice complaint new tower poolspaworkout area located old tower lobby knew happy room old towerfree wifi lobby pay room great room safe larger laptop hotel locked room sparethe staff professional polite actually knew answers questions asked place spotless convention going asked robes happily supplied nice comfy ones chargemy minuses bed little hard comfy additional fees little things typical hotels seattle parking day inroom internet dayotherwise nice size rooms good security friendly staff clean employees professional friendly flying suggest renting car seattle crazy parking expensive hotel walking distance attractions space needle monorail couple blocks away happy stay cab fromto airport generic shuttle runs string different hotels round trip pp "
"224","great hotel stayed sheraton town wedding church reception close hotel little know booked hotel close seattle attractions hotel located downtown near shopping monterail blocks away space needle pike place market throw fish blocks min walk rent car wanted walking distancewe took taxi hotel seatac airport min drive cost want cheaper bus personwe arrived hours checkin time problem room ready th floor beautiful view city recommend hotel really liked free internet guests complaint bathroom sink drain broken service restaurant good definitly stay "
"225","great hotel great location stayed mlk weekend really liked hotel users recommendations requested room new tower flight delayed pst pulled sheraton gentleman working desk entered difficult time figuring switch new tower finally succeeded went room turned gave handicapped room meant strange bathroom seat shower counter space railing way late energy ask nonhandicapped room went sleep room quite nice brand new including nice flatscreen tv ca nt complain head original tower occasions use gym hotel large poolgym floor complete beautiful views seattle puget sound large hotel surprised treadmills use sign minute time limit people waiting huge deal definitely room improvement thereas mentioned reviewers parking problem valet insane parked convention center lots area allowed overnight selfparking lucky experience low rates posted convention center website paid day good savings valet means bargain highly recommend renting car going spending time seattle proper especially staying sheraton seattle airport shuttle drops people directly hotel definitely cheaper parking overall definitely stay just hopefully handicapped room "
"226","great seattle location great downtown hotel parking problem read reviews hotel parking overnite parked block away convention center short block walk pike place market nt miss excellent dinner hotel daily grill definitely stay "
"227","thoroughly enjoyed stay spent nights business july stayed new tower room outstanding bed comfortable conference facilities excellent downtown location terrific walking problem fitness facilities limited opened lineup machines treadmills couple ellipticals resistance machines size hotel "
"228","fantastic hotel fabulous stay sheraton downtown seattle stayed remodeled union tower king corner roomthe room decorated shades chocolate brown caramel cream tasteful roomy cleanthe staff helpful courteous hotel walking distance things downtown seattle fabulous weekend highly recommend hotel looking stay downtown area "
"229","great hotel great location great hotel fantastic location read reviews trip advisor emailed hotel arrival ask room new block got room nice big modern lovely bathroom lobby massive check check wait ate restaurant evening quiet pricey lovely bar nice serves wide range drinks cocktails best thing going hotel opinion location going shop sightseeing thing location fantastic right middle really enjoyed visit seattle hightened stay sheraton hesitation recommending hotel "
"230","wonderful time sheraton stayed sheraton auguest pleasantly surprised experience emailed hotel earlier requesting king room new tower nt really expect receive asked afterall payed priceline checkin pleasantly suprised assigned king room new tower room lovely comfy bed lovely view nicer tv home bathroom bright clean comfortable location convenient concierge helpful helping city bus king street station hesitate stay "
"231","nice hotel stayed hotel times past stay new tower rooms new tower definitely nicer original tower brighter fresher look original tower rooms fine just nt nice pool area offers great view city location hotel perfect parking expensive hotel stayed seattlemy complaints minor construction going lobby area slight feel construction zone areas hidden black curtains minor guess finished end september restaurant lounge area bit disconnected hotel tend prefer hotels lobby bars "
"232","worse stay hotel help concierge idea sites city espically finding concierge knew fishermans terminal advised taking cab knowing cabs return area stuck hour calling hotel assistance tell use nothing saw guests upset "
"233","friendly staff comfortable beds stayed hotel tour included hotel coast california enjoyed hotel great location tourists close market place attractions desk staff accommodating thanks christopher rest hotel staff friendly loved beds comfortable breakfast included tour enjoyed want included buffet fruit fresh hi morgan wait staff hotel bright clean looking fresh flowers lobby area seattle try make short trip boeing aircraft factory loved tour people seattle portland willing help tourists directions suggestions "
"234","avoid constructionrefurbishment completed stayed sheraton seattle day cruise hotel perfect location walk downtown restaurants shops hotel construction entrance poorly marked hotel taxi driver pull curb construction materials street help luggage ramp street lobby offered help luggage late check breeze minutes sets elevators depending floor directed wrong set fortunately caught error getting room clean standard outdated shades buff yellow giftsundry shop construction restaurantbar just cordoned section lobbyi try seattle sheraton construction refurbishment finished thought secured felt reasonable rate hotwire feel hotel worth price "
"235","stay bellevue instead write review leisure traveller hotel superb location beds super comfortable itthe valet parking said rooms modern way starting year old television strikes odd layout bathroom open door walk straight wall better sober step shower foot toilet quiet hotelthe noise showers allow fallback sleep awaken noise doors closing compared door close hour arguementwith girlfriend boyfriend foundations literallly shakei nt know want stay hotel prices charged going spend money stay hyatt westin budget stay bellevue hotels everybit nice better recommend bellevue athletic club hyatt westin taxi public transport town save money steak dinner ruth chris "
"236","nice hotel beware parkingvalet fee great location clean comfy stylish room great service nice views parking fee expecting seriously bucks hurt cough money "
"237","nice location lovely room view good requesting view seattle fruitless nt realize view bay day checked clouds lifted ferry cruising grey water rewarding sun comes room warm experience hotel rooms tend chilly cozily decorated sandy tones appealing bureau instead typical tv cabinet drawers room clean nicely turned arrived comfortable bathroom closet hotel employees spoke pleasant hotel excellent location tourism pike street market easy walk street taxis readily available nearby upscale malls various sizes immediate area large movie theatres borders barnes noble williams sonoma anne taylor original nordstrom nordstrom rack say highend retailer planet represented downtown hilly pike street walkable steep grayline tours desk lobby picks hotel tours airport shuttles handy bad hotel pool inside floor ill lit chilly obviously heated jacuzzi nice soda machine floor floor broken ones work refused function used change bills pleasant little porch area corner entrance closed sunday night construction going hotel forcing enter exit hotel badly designed main entrance essentially driveway taxis limos cars constantly arriving leaving bit hazardous navigate especially pedestrian walk extends public sidewalk just hop apron near hotel doors hope suv nt swing corner pretty blind construction overhang lobby area dark uninviting guessing chihuly sculpture kept reading removed construction safekeepingsummary overall nice hotel bad spots little concerned entrance issue elderly travelling elderly shakyweak feet getting door sidewalk clearly bit dangerous "
"238","pleases sheraton hotel towers wife stayed sheraton nights prior alaska cruise booked hotwire stay expected great room upgrade th floor close pikes marketit cab ride pier purchased roundtrip ticket airporter sheraton took cab pier saved nt alot convenient bus drivers friendly cabbiesallinall wnat close downtown action great hotel pick definently star "
"239","careful book careful room type person husband room double beds kings available beds took room lounge chairs struck corner nt really tv going spending nights moved hotel bigger rooms inn harbor steps highly recommendlocation central great shopping linens bed comfortable staff nice nt change room "
"240","overall great hotel stayed days october convention brought wife toddler sonthe location incredibly convenient downtown seattle close convention center pike marketplace restaurantsthe desk staff cordial provided room wanted reasonable timethe room received good view little puget sound clean comfortable facilities maintained pool added plusservice room service bell staff maid service concierge friendly excellentonsite restaurants overpriced unimpressive food spotty servicethe hotel little pricey despite conventionassociated discounts reasonable considering overall consistent qualitynotably checking mistake minibar charge disputed removed promptly type apology mistake overall desk left bad taste mouth marred decent stayin sum great hotel consistently excellent service familyfriendly little pricey considering mediocre restaurant offerings reasonable value probably need monitor desk staff carefully offer impression impression customers "
"241","great view great hotel stay travel seattle stayed week march night view room terrific rd floor facing downtown puget sound skyscrapers mountains location great service great overall great place stay "
"242","good location recently stayed nights sheraton priceline got room night fri mon good location downtown area walking distance pike street market little pioneer square walk bad highly recommend walking parking downtown area terrible parking hotel cost night hotel nice clean room average small bathroom hear people door nt think stayed nt got good rate priceline note restaurants market area close finding local place eat kind hard weather permits suggest going bank america building th street observation floor costs just great view better space needle nt forget umbrella sweater coat hood oh good walking shoes rains lot seattle definitely fall temp try ferry ride bremerton bainbridge island drive car walk came bremerton night view downtown seattle awesome "
"243","great hotel great location stay happy room sheraton priceline night excited able stay hotel arrived hotel disappoint bed pillows comforter comfy clean bathroom clean nice location hotel wonderful just short walk blocks pikes market short walk monorail takes directly space needle experience music project emp lots shopping directly hotel definitely stay sheraton good deal try luck priceline paying dollar directly hotel "
"244","wo nt book just returned seattle booked seattle sheraton towers nights left hotel night desk nt inquire leaving club floor hours morning continental breakfast hours evening canapes lounge closed tight evening poured coffee used small plastic container cream dish coffee urn cream sour curdled coffee staff personnel talk room dreary stains carpets good location hotel definitely seen better days "
"245","excellent location enjoyed stay hotel close pike street market nice short walk market sample fresh mini donuts spot eat award winning restaurants facing river mountains rooms hotel clean day equipped accoutrements needed traveler hotel staff friendly professional "
"246","great location nice hotel second stay hotel amazing perspective changes depending price time stayed sheraton towers baseball star weekend years paid time used priceline stayed plus tax night place steal wonderfully central location street monorail convention center great shopping hotel offers solid business class accomodations price break definitely recommend place "
"247","loved sheraton towers seattle great hotel great location nicest rooms comfy beds located blocks pike place public market shopping ideal furla store marla manger doll lots great places shop eat athenian market good space needle cool dinner make worth view killer food good aquarium ok time going sheraton f nice nice staff ask concierge coupons attractions buses run downtown area free cool need rent car airport expensive use gray line bus forth airportps il bistro nice romantic restaurant "
"248","best deal town write reviews feel compelled time staying hotel currently times past hotel center city nearly impossible seattle block westlake center blocks pike place market really ideal location nofrills hotel rooms clean comfortable wellinsulated w basic amenities including inroom coffee housekeeping staff great desk personnel extremely kind helpful nice restaurant downstairs laundry fitness room onsite highly recommend place return "
"249","lemon going check recheck days later asked avenune inn heavey luggage days come check desk refuesed unbeliable othere average hotelalways luggage recheck days avenue innis kindness victoria easy hand free trip victoria carrying heavy luggage agency tried fax asked fax nunber avenue inn told disconnet number agency called unable fax desk gave nd fax busy line number agency unable fax avenue inn doew let use customer fax line avenune inn exclude use internet customer unable receive important faxsince unable fax agent tried room desk said telephone room working today imagine let customer use intenet overall hotel provide fax service telephonecommunication service room terrible service thinking customers emergency happen family howguest know news willl recommend ohters use hotel "
"250","decent room affordable price downtown seattle went visit friend seattle midseptember game husky stadium chose place looking various websites affordable hotel room downtown place fit billthe room average typical midgrade hotel clean real downside walls hold sound outside heard lot noise rooms outside fortunately slept wellthe staff nice willing hold bags hours checked outthere restaurant hotel ate breakfast food pretty goodthis hotel blocks westlake center terminus s lake union streetcar monorail seattle center space needle area blocks pike place market hill "
"251","great location laughable rooms booked flights seattle package got great deal people nights airfare nt choice stay hotel old kind stinky refused elevator bit decrepit smelled vomit stairways smelled like pee room quite clean bare walked city times location hotel superb belltown tons cute places eat drink right downtown plethora chain clothing stores nt know stay certainly sufficient low budget minute long weekend trip "
"252","great cozy hoitel location great right westin mcdonalds walking distance downtown monorail outside looks like older small motel inside good midlevel think holiday inn resturant bit pricy food good quality atmosphere great wood burning fireplace nice place gray day seattlei booked airline milage points highly reccommend "
"253"," bad price great bargain downtown seattleit old clean little noisy location great staff friendlly able leave car parking lot hours checked real nice bonus just need place sleep night bargain price want amenities stay "
"254","walk pike place market breakfast seattle native pleased bid win sixth avenue inn onpriceline motel just motel right middle downtown seattle think remember seattle world fairin bit dated bathroom nt shelf space imo overlook type thing amazing safe location think returned drive easy access important location unbeatable long waits elevators walks endless lobbies poof door way pike place market belltown downtown monorail pro football baseball venues min bus ride south exploring downtown seattle goal want play dollarsinstead paying high rise view try motel "
"255","come nt understand bad reviews hotel simple got exactly need nice confortable bed clean bathroom excellent price near walked pike place market monorail "
"256"," book false information family just finished day alaskan cruise looking hotel seattle wa shuttle service pier hotel hotel airport place leave luggage hrs went site seeing downtown booking company particular hotel assured criteria met hotel booked room just store luggage ended travel accomodations hotel airport ended taxis destinations needless say angry extra hotel hotel manager available phone customer service reps finally got called times sent email website matter resolved hopefully said reimburse taxi fares believe advice situation grab taxi airport flat fee downtown seatac airport check luggage early rideon bus downtown way seniors free kids free ride bus downtown seattle pm everyday "
"257","great location stayed property times like hotel location hotel walking distance pike market al shopping seattlethe hotel parking pay small fee nightly rate payed rooms clean good beds experienced problems stays "
"258","budget booked hotel weekend november recommendation clean spartan room travel book expecting seriously whelmed room old tired felt dirty slept fully clothed wore socks times shower gross sink toilet new clean pillows felt filled cotton balls bed creaked squeaked slightest movement walls carpet stained feel lock door work faced lovely strip club noise outside hotel expected downtown location noise inside hotel obscene people banging door morning party room mention felt right bed walls general paper hear neighbours conversations watching tvsome staff friendly sharpest location great walk reccomend embarresed say stayed "
"259","sixth ave good budget choice downtown really enjoyed stay sixth ave inn room appeared newly renovated spacious modern hotel good location exploring seattlewe walked pikes place market minutes downtown stores closer hotel restaurant gemgreat food good prices nicer atmosphere expected hotel parking charge night good downtown hotel definately stay seattle "
"260","watch baitandswitch room rates rooms acceptable restaurant bar attached hotel helpful booked rooms hotels thankfully printed email confirmations showing ratessince initially doubles available reserved single queen rollaway bed order sisters share room arrived room queen beds cancelled rollawaywhen checked management version rates higher night room certainly understand days multiple coupons memberships discounts misunderstanding occur issue email printout took minutes convince fairly hostile desk adjust final billafter returned home checked visa addition room charges single charge turns neverseen neverused rollaway lengthy discussion longdistance phone called visa disputed chargeok hotel bad management "
"261","affordable great location price boyfriend stayed nights weekend getaway seattle us night needed staff friendly room clean great budget hotel felt safe parking hotel day barely spent time room choose hotel convenient location things wanted walking distance mcdonalds starbucks shopping centres short driving distances space needle emp thing nt like uncomfortably flat pillows bed got corner suite cold went play heating warmed aside great value recommendations loves bubble tea try gossip bubbletea chinatown tons bubble tea vancouver gossip best thank previous posters board tip vegetarian lovers try araya thai vegetarian cuisine great price nice atmosphere generous portions "
"262","basic hotel basic needs hotel perfect young travellers just need place sleep needs far thatthe rooms basic clean beds comfortable bathrooms clean hot water small showers desk staff friendly helpful essentially star hotel fair squarebring earplugs walls paper constant noise street rooms just people room moving awake night creates loud creaking thumping sound step takethe area soso walking distance main areas attractions cab rides short cheap central location nt want walking immediate area surrounding hotelthe best feature hotel restaurant staff amazingly friendly attentive fast service notch food great nt expect gourmet cusine hotel callibre homestyle american food good oversized portions perfect sharing stay hotel bring earplugs "
"263","average experience rooms sixth avenue inn included delta weekend getaway package seattle centrally located inn hotel choose seek againthe property old showing age rooms cramped dark furnishings uncomfortable extremely hard beds rickety wicker patio furniture used place conventional chairs high speed internet access provided day port wired wall extend tiny nearby desk making computers difficult use payasyougo terminal lobby slow crippled worth money place stay plan work roomthe desk staff helpful needed fax refax documentsbreakfast restaurant surprisingly hearty seek lived seattle breakfast included roomin end property best choice business vacation users good solution young people looking inexpensive rooms heart seattle "
"264","great value excellent staff th ave inn nt look like special given hotels thatsurround low rise concrete motel like facade nt fooled thisthe hotel offers good value money right downtown seattleplus points good rates locationhigh speed internet access rooms pay wifi lobby restaurantgood cozy bar excellent value restaurantexcellent helpful friendly staffminus points rooms little care wornmaid service little erratic friendlyoverall excellent staff makes breaks hotel people atthe th ave inn faulted deskrestaurant staff aresuperbbest tips try joe special breakfast food week seattle great public transport nt pay taxi airport ride stops westlake centre shortwalk hotel peak peak fare just quick plan trips nt easier certainly "
"265","ok place price recently stayed oct nights trip seattle familiar area hotel price night room fair improvements nice hotelupon arriving noticed hallways funny smell rooms clean bathroom small hard people ready mirror dresser difficult ready room husband showered needed extra towels set person provided extras dresser pillows lumpy iron board room arrivedfront desk staff accomodating helpful ate restaurant twice good food service slow ordered long island iced tea strong tried bartender fix handed sweet sour wash nt drink charged commented order kind drink ca nt handle liquor say patron paying meals drinksoverall recommend short stay days nicer places located heart downtown want pay bit "
"266","disappointed sixth avenue inn nice place stay changes staff hotel nice tried helpful stay sixth avenue inn recommend stay significant changes need assigned smoking room room told room smoking room making reservation bed like marble slab pillows lumpy spotteddirty small extra blankets pillows room mistook bath towel hand towel towels small towels towels person use requested ironing board cover board dirty totally grossed towel cover use hotel continuously understaffed hostess busboy running frantically restaurant sad watch try care guests maid service nt come room late afternoon arriving shampoo bottle room opened looked like shampoo missing usually hotel problems just bad nice hotel "
